account,name,amount_usd
AX-2026-0001,Valentina Ferreyra,5935828.61
AX-2026-0002,Mateo Albarracin,348550.92
AX-2026-0003,Camila Soto,3033104.85
AX-2026-0004,Joaquin Peralta,2709506.28
AX-2026-0005,Martina Ledesma,7346005.39
AX-2026-0006,Santiago Bustos,1578277.06
AX-2026-0007,Lucia Herrera,1275408.31
AX-2026-0008,Benjamin Correa,7987799.46
AX-2026-0009,Emilia Vega,8032859.32
AX-2026-0010,Thiago Molina,6945793.03
AX-2026-0011,Isabella Nunez,842000000.00
AX-2026-0012,Lautaro Silva,512300000.00
AX-2026-0013,Mia Castillo,301150000.00
AX-2026-0014,Bautista Romero,4460337.72
AX-2026-0015,Catalina Ponce,7326363.83
AX-2026-0016,Federico Arias,3160877.99
